! GC21_MW_DM_halo.txt
! R    D    M    P
600
6.468614e+01 1.342446e-05 5.897703e+01 -1.432368e+00
6.518681e+01 1.313355e-05 5.932930e+01 -1.425344e+00
6.568748e+01 1.285056e-05 5.967929e+01 -1.418387e+00
6.618815e+01 1.257523e-05 6.002702e+01 -1.411494e+00
6.668881e+01 1.230731e-05 6.037251e+01 -1.404666e+00
6.718948e+01 1.204656e-05 6.071577e+01 -1.397901e+00
6.769015e+01 1.179275e-05 6.105683e+01 -1.391198e+00
6.819082e+01 1.154566e-05 6.139570e+01 -1.384557e+00
6.869149e+01 1.130506e-05 6.173239e+01 -1.377977e+00
6.919215e+01 1.107077e-05 6.206693e+01 -1.371456e+00
6.969282e+01 1.084257e-05 6.239933e+01 -1.364995e+00
7.019349e+01 1.062027e-05 6.272961e+01 -1.358591e+00
7.069416e+01 1.040370e-05 6.305779e+01 -1.352246e+00
7.119482e+01 1.019267e-05 6.338387e+01 -1.345957e+00
7.169549e+01 9.987014e-06 6.370789e+01 -1.339724e+00
7.219616e+01 9.786565e-06 6.402985e+01 -1.333546e+00
7.269683e+01 9.591165e-06 6.434977e+01 -1.327422e+00
7.319750e+01 9.400660e-06 6.466766e+01 -1.321353e+00
7.369816e+01 9.214903e-06 6.498356e+01 -1.315336e+00
7.419883e+01 9.033752e-06 6.529746e+01 -1.309372e+00
7.469950e+01 8.857067e-06 6.560939e+01 -1.303460e+00
7.520017e+01 8.684718e-06 6.591936e+01 -1.297598e+00
7.570083e+01 8.516576e-06 6.622739e+01 -1.291787e+00
7.620150e+01 8.352516e-06 6.653349e+01 -1.286026e+00
7.670217e+01 8.192421e-06 6.683768e+01 -1.280313e+00
7.720284e+01 8.036173e-06 6.713998e+01 -1.274649e+00
7.770351e+01 7.883663e-06 6.744040e+01 -1.269033e+00
7.820417e+01 7.734781e-06 6.773895e+01 -1.263465e+00
7.870484e+01 7.589425e-06 6.803565e+01 -1.257942e+00
7.920551e+01 7.447494e-06 6.833052e+01 -1.252466e+00
7.970618e+01 7.308891e-06 6.862357e+01 -1.247036e+00
8.020684e+01 7.173521e-06 6.891481e+01 -1.241650e+00
8.070751e+01 7.041294e-06 6.920426e+01 -1.236309e+00
