! MW_GC21_model.txt
! R    D    M    P
499
1.169339e+02 2.218735e-06 8.669539e+01 -9.426722e-01
1.175351e+02 2.182239e-06 8.692387e+01 -9.388749e-01
1.181363e+02 2.146494e-06 8.715091e+01 -9.351063e-01
1.187375e+02 2.111480e-06 8.737652e+01 -9.313662e-01
1.193387e+02 2.077178e-06 8.760072e+01 -9.276542e-01
1.199399e+02 2.043573e-06 8.782352e+01 -9.239701e-01
1.205411e+02 2.010647e-06 8.804492e+01 -9.203134e-01
1.211423e+02 1.978383e-06 8.826496e+01 -9.166840e-01
1.217435e+02 1.946765e-06 8.848362e+01 -9.130815e-01
1.223447e+02 1.915779e-06 8.870094e+01 -9.095056e-01
1.229459e+02 1.885408e-06 8.891692e+01 -9.059560e-01
1.235471e+02 1.855639e-06 8.913157e+01 -9.024324e-01
1.241483e+02 1.826456e-06 8.934490e+01 -8.989345e-01
1.247495e+02 1.797846e-06 8.955693e+01 -8.954622e-01
1.253507e+02 1.769796e-06 8.976766e+01 -8.920150e-01
1.259519e+02 1.742293e-06 8.997711e+01 -8.885927e-01
1.265531e+02 1.715323e-06 9.018530e+01 -8.851950e-01
1.271543e+02 1.688874e-06 9.039222e+01 -8.818217e-01
1.277555e+02 1.662934e-06 9.059789e+01 -8.784726e-01
1.283567e+02 1.637492e-06 9.080233e+01 -8.751473e-01
1.289579e+02 1.612536e-06 9.100554e+01 -8.718456e-01
1.295591e+02 1.588054e-06 9.120753e+01 -8.685672e-01
1.301603e+02 1.564037e-06 9.140832e+01 -8.653120e-01
1.307615e+02 1.540473e-06 9.160791e+01 -8.620796e-01
1.313627e+02 1.517352e-06 9.180632e+01 -8.588698e-01
1.319639e+02 1.494664e-06 9.200355e+01 -8.556824e-01
1.325651e+02 1.472400e-06 9.219961e+01 -8.525172e-01
1.331663e+02 1.450550e-06 9.239452e+01 -8.493739e-01
1.337675e+02 1.429105e-06 9.258829e+01 -8.462523e-01
1.343687e+02 1.408056e-06 9.278092e+01 -8.431522e-01
1.349699e+02 1.387393e-06 9.297242e+01 -8.400733e-01
1.355711e+02 1.367109e-06 9.316281e+01 -8.370154e-01
1.361723e+02 1.347195e-06 9.335209e+01 -8.339784e-01
1.367735e+02 1.327644e-06 9.354027e+01 -8.309620e-01
1.373747e+02 1.308446e-06 9.372737e+01 -8.279659e-01
1.379760e+02 1.289595e-06 9.391338e+01 -8.249901e-01
1.385772e+02 1.271083e-06 9.409833e+01 -8.220343e-01
1.391784e+02 1.252903e-06 9.428221e+01 -8.190982e-01
1.397796e+02 1.235047e-06 9.446504e+01 -8.161817e-01
