! None/basis/modelname_lmc_mean_2903.txt
! R    D    M    P
600
6.769015e+01 6.607510e-08 7.566722e-01 -1.329026e-02
6.819082e+01 6.438104e-08 7.585663e-01 -1.320808e-02
6.869149e+01 6.274098e-08 7.604394e-01 -1.312690e-02
6.919215e+01 6.115287e-08 7.622917e-01 -1.304670e-02
6.969282e+01 5.961473e-08 7.641236e-01 -1.296745e-02
7.019349e+01 5.812470e-08 7.659354e-01 -1.288916e-02
7.069416e+01 5.668097e-08 7.677274e-01 -1.281179e-02
7.119482e+01 5.528183e-08 7.695000e-01 -1.273533e-02
7.169549e+01 5.392564e-08 7.712534e-01 -1.265976e-02
7.219616e+01 5.261081e-08 7.729881e-01 -1.258508e-02
7.269683e+01 5.133586e-08 7.747042e-01 -1.251126e-02
7.319750e+01 5.009932e-08 7.764020e-01 -1.243829e-02
7.369816e+01 4.889982e-08 7.780819e-01 -1.236615e-02
7.419883e+01 4.773604e-08 7.797442e-01 -1.229484e-02
7.469950e+01 4.660671e-08 7.813890e-01 -1.222433e-02
7.520017e+01 4.551060e-08 7.830168e-01 -1.215461e-02
7.570083e+01 4.444656e-08 7.846276e-01 -1.208567e-02
7.620150e+01 4.341345e-08 7.862219e-01 -1.201750e-02
7.670217e+01 4.241022e-08 7.877998e-01 -1.195009e-02
7.720284e+01 4.143582e-08 7.893616e-01 -1.188341e-02
7.770351e+01 4.048926e-08 7.909076e-01 -1.181747e-02
7.820417e+01 3.956960e-08 7.924379e-01 -1.175224e-02
7.870484e+01 3.867593e-08 7.939529e-01 -1.168772e-02
7.920551e+01 3.780736e-08 7.954527e-01 -1.162389e-02
7.970618e+01 3.696306e-08 7.969375e-01 -1.156075e-02
8.020684e+01 3.614221e-08 7.984077e-01 -1.149828e-02
8.070751e+01 3.534404e-08 7.998633e-01 -1.143647e-02
8.120818e+01 3.456780e-08 8.013047e-01 -1.137532e-02
8.170885e+01 3.381277e-08 8.027320e-01 -1.131480e-02
8.220952e+01 3.307825e-08 8.041454e-01 -1.125492e-02
8.271018e+01 3.236359e-08 8.055451e-01 -1.119565e-02
8.321085e+01 3.166814e-08 8.069314e-01 -1.113700e-02
8.371152e+01 3.099128e-08 8.083043e-01 -1.107895e-02
8.421219e+01 3.033242e-08 8.096642e-01 -1.102150e-02
8.471285e+01 2.969098e-08 8.110112e-01 -1.096463e-02
8.521352e+01 2.906643e-08 8.123454e-01 -1.090833e-02
8.571419e+01 2.845822e-08 8.136671e-01 -1.085260e-02
8.621486e+01 2.786585e-08 8.149764e-01 -1.079743e-02
8.671553e+01 2.728882e-08 8.162735e-01 -1.074281e-02
8.721619e+01 2.672666e-08 8.175585e-01 -1.068873e-02
8.771686e+01 2.617892e-08 8.188317e-01 -1.063518e-02
8.821753e+01 2.564514e-08 8.200932e-01 -1.058216e-02
8.871820e+01 2.512490e-08 8.213431e-01 -1.052966e-02
8.921886e+01 2.461780e-08 8.225817e-01 -1.047767e-02
8.971953e+01 2.412344e-08 8.238090e-01 -1.042618e-02
9.022020e+01 2.364143e-08 8.250252e-01 -1.037519e-02
9.072087e+01 2.317141e-08 8.262305e-01 -1.032468e-02
9.122154e+01 2.271301e-08 8.274249e-01 -1.027466e-02
9.172220e+01 2.226591e-08 8.286088e-01 -1.022512e-02
9.222287e+01 2.182976e-08 8.297821e-01 -1.017604e-02
9.272354e+01 2.140424e-08 8.309451e-01 -1.012742e-02
9.322421e+01 2.098904e-08 8.320978e-01 -1.007926e-02
9.372487e+01 2.058387e-08 8.332405e-01 -1.003154e-02
9.422554e+01 2.018844e-08 8.343731e-01 -9.984273e-03
9.472621e+01 1.980246e-08 8.354959e-01 -9.937439e-03
9.522688e+01 1.942567e-08 8.366091e-01 -9.891035e-03
9.572755e+01 1.905780e-08 8.377126e-01 -9.845055e-03
9.622821e+01 1.869860e-08 8.388067e-01 -9.799495e-03
9.672888e+01 1.834783e-08 8.398914e-01 -9.754347e-03
9.722955e+01 1.800526e-08 8.409669e-01 -9.709607e-03
9.773022e+01 1.767064e-08 8.420333e-01 -9.665269e-03
9.823088e+01 1.734377e-08 8.430907e-01 -9.621327e-03
9.873155e+01 1.702442e-08 8.441392e-01 -9.577777e-03
9.923222e+01 1.671239e-08 8.451789e-01 -9.534613e-03
9.973289e+01 1.640749e-08 8.462100e-01 -9.491829e-03
1.002336e+02 1.610950e-08 8.472326e-01 -9.449422e-03
1.007342e+02 1.581826e-08 8.482466e-01 -9.407386e-03
1.012349e+02 1.553357e-08 8.492524e-01 -9.365716e-03
1.017356e+02 1.525526e-08 8.502499e-01 -9.324408e-03
1.022362e+02 1.498316e-08 8.512392e-01 -9.283456e-03
1.027369e+02 1.471710e-08 8.522205e-01 -9.242856e-03
1.032376e+02 1.445693e-08 8.531939e-01 -9.202604e-03
1.037382e+02 1.420248e-08 8.541594e-01 -9.162696e-03
1.042389e+02 1.395361e-08 8.551172e-01 -9.123126e-03
1.047396e+02 1.371016e-08 8.560673e-01 -9.083891e-03
1.052402e+02 1.347201e-08 8.570098e-01 -9.044986e-03
1.057409e+02 1.323901e-08 8.579448e-01 -9.006407e-03
1.062416e+02 1.301102e-08 8.588725e-01 -8.968150e-03
1.067422e+02 1.278793e-08 8.597928e-01 -8.930212e-03
1.072429e+02 1.256959e-08 8.607060e-01 -8.892587e-03
1.077436e+02 1.235590e-08 8.616119e-01 -8.855273e-03
1.082442e+02 1.214673e-08 8.625109e-01 -8.818265e-03
1.087449e+02 1.194198e-08 8.634028e-01 -8.781560e-03
1.092456e+02 1.174152e-08 8.642879e-01 -8.745154e-03
1.097462e+02 1.154525e-08 8.651662e-01 -8.709043e-03
1.102469e+02 1.135307e-08 8.660377e-01 -8.673224e-03
1.107476e+02 1.116487e-08 8.669025e-01 -8.637694e-03
1.112482e+02 1.098055e-08 8.677608e-01 -8.602448e-03
1.117489e+02 1.080003e-08 8.686126e-01 -8.567483e-03
1.122496e+02 1.062320e-08 8.694579e-01 -8.532797e-03
1.127503e+02 1.044998e-08 8.702969e-01 -8.498385e-03
1.132509e+02 1.028027e-08 8.711296e-01 -8.464245e-03
1.137516e+02 1.011400e-08 8.719561e-01 -8.430373e-03
1.142523e+02 9.951080e-09 8.727764e-01 -8.396766e-03
1.147529e+02 9.791426e-09 8.735906e-01 -8.363422e-03
1.152536e+02 9.634963e-09 8.743988e-01 -8.330336e-03
1.157543e+02 9.481614e-09 8.752011e-01 -8.297506e-03
1.162549e+02 9.331304e-09 8.759975e-01 -8.264929e-03
1.167556e+02 9.183963e-09 8.767880e-01 -8.232603e-03
1.172563e+02 9.039519e-09 8.775729e-01 -8.200523e-03
1.177569e+02 8.897905e-09 8.783520e-01 -8.168688e-03
1.182576e+02 8.759055e-09 8.791255e-01 -8.137095e-03
1.187583e+02 8.622903e-09 8.798934e-01 -8.105741e-03
1.192589e+02 8.489388e-09 8.806558e-01 -8.074623e-03
1.197596e+02 8.358448e-09 8.814127e-01 -8.043738e-03
1.202603e+02 8.230023e-09 8.821643e-01 -8.013084e-03
1.207609e+02 8.104057e-09 8.829105e-01 -7.982659e-03
1.212616e+02 7.980492e-09 8.836514e-01 -7.952460e-03
1.217623e+02 7.859275e-09 8.843871e-01 -7.922484e-03
1.222629e+02 7.740351e-09 8.851176e-01 -7.892728e-03
1.227636e+02 7.623668e-09 8.858431e-01 -7.863191e-03
1.232643e+02 7.509177e-09 8.865634e-01 -7.833870e-03
1.237649e+02 7.396828e-09 8.872788e-01 -7.804763e-03
1.242656e+02 7.286573e-09 8.879892e-01 -7.775867e-03
1.247663e+02 7.178365e-09 8.886946e-01 -7.747181e-03
1.252669e+02 7.072159e-09 8.893953e-01 -7.718701e-03
1.257676e+02 6.967911e-09 8.900911e-01 -7.690425e-03
1.262683e+02 6.865578e-09 8.907821e-01 -7.662352e-03
1.267689e+02 6.765116e-09 8.914685e-01 -7.634479e-03
1.272696e+02 6.666487e-09 8.921502e-01 -7.606804e-03
1.277703e+02 6.569648e-09 8.928272e-01 -7.579326e-03
1.282710e+02 6.474562e-09 8.934997e-01 -7.552041e-03
1.287716e+02 6.381191e-09 8.941677e-01 -7.524948e-03
1.292723e+02 6.289498e-09 8.948312e-01 -7.498044e-03
1.297730e+02 6.199446e-09 8.954903e-01 -7.471329e-03
1.302736e+02 6.111001e-09 8.961450e-01 -7.444799e-03
1.307743e+02 6.024128e-09 8.967954e-01 -7.418454e-03
1.312750e+02 5.938793e-09 8.974414e-01 -7.392290e-03
1.317756e+02 5.854965e-09 8.980832e-01 -7.366307e-03
1.322763e+02 5.772611e-09 8.987208e-01 -7.340502e-03
